73.73 20.72 0.19 2.38 
77.84 22.07 0.32 3.10 
78.43 19.47 0.53 3.37 
70.56 19.65 0.41 2.91 
70.27 20.81 0.78 3.95 
71.91 16.79 0.44 2.80 
71.35 18.40 0.84 4.61 
59.02 17.84 0.47 2.51 
67.36 16.48 0.25 2.72 
72.42 21.33 0.92 5.32 
